price,make,model,mileage_km,registration_date,body_type,transmission,primary_fuel
44440.0,BMW,X4 M,5494.0,2018-11-01,Coupe,Automatic,Regular/Benzine 91
65490.0,Audi,Q7,27293.0,2025-01-01,SUV,Automatic,Diesel
28995.0,Volvo,XC40,108622.0,2020-07-01,SUV,Automatic,Super 95
80890.0,Porsche,Panamera,92000.0,2017-09-01,Sedan,Automatic,Regular/Benzine 91
51500.0,BMW,X5,72500.0,2022-03-01,SUV,Automatic,Regular/Benzine 91
87999.0,Audi,Q7,11900.0,2025-06-01,SUV,Automatic,Super 95
35990.0,BMW,X3,134300.0,2022-10-01,SUV,Automatic,Regular/Benzine 91
80889.0,BMW,M3,33000.0,2024-04-01,Sedan,Automatic,Super 95
64680.0,Audi,Q7,28747.0,2025-01-01,SUV,Automatic,Diesel
53900.0,Porsche,Macan,80000.0,2014-10-01,SUV,Automatic,Super Plus 98
51880.0,Audi,Q7,142000.0,2020-05-01,SUV,Automatic,Diesel
30990.0,BMW,520,89123.0,2022-12-01,Sedan,Automatic,Diesel
60480.0,Mercedes-Benz,GLC 300,13650.0,2025-02-01,SUV,Automatic,Regular/Benzine 91
28900.0,BMW,X2,56666.0,2021-05-01,SUV,Automatic,Diesel
59880.0,Audi,Q3,10900.0,2025-05-01,SUV,Automatic,Super 95
33790.0,BMW,330,72600.0,2021-04-01,Sedan,Automatic,Regular/Benzine 91
1950.0,BMW,316,190898.0,2002-01-01,Coupe,Manual,Super 95
3980.0,Volvo,S80,159689.0,2003-05-01,Sedan,Manual,Regular/Benzine 91
109950.0,Porsche,911,5500.0,2015-08-01,Coupe,Automatic,Regular/Benzine 91
83999.0,Mercedes-Benz,CLA 45 AMG,10000.0,2025-10-01,Coupe,Automatic,Super 95
62960.0,Mercedes-Benz,GLC 300,16593.0,2025-01-01,SUV,Automatic,Regular/Benzine 91
48880.0,Porsche,Cayenne,148400.0,2016-04-01,SUV,Automatic,Diesel
30399.0,BMW,X1,37788.0,2022-07-01,SUV,Automatic,Regular/Benzine 91
29790.0,Porsche,Macan,152751.0,2015-02-01,SUV,Automatic,Diesel
88990.0,Mercedes-Benz,GLE 450,7934.0,2025-06-01,SUV,Automatic,Regular/Benzine 91
38970.0,BMW,X3,30364.0,2022-06-01,SUV,Automatic,Super 95
24000.0,BMW,530,134300.0,2018-12-01,Sedan,Automatic,Super E10 95
20750.0,Audi,A3,151346.0,2020-10-01,Sedan,Automatic,Diesel
136850.0,BMW,M5,4130.0,2025-05-01,Sedan,Automatic,Regular/Benzine 91
28670.0,BMW,X1,21239.0,2021-09-01,SUV,Automatic,Electricity
89900.0,Porsche,Macan,30201.0,2023-05-01,SUV,Automatic,Super E10 95
49945.0,Mercedes-Benz,GLA 250,11224.0,2025-02-01,SUV,Automatic,Super 95
43945.0,Mercedes-Benz,EQA 250,10500.0,2025-02-01,SUV,Automatic,Electricity
4400.0,Honda,Jazz,136500.0,2011-02-01,Hatchback,Manual,Regular/Benzine 91
16490.0,Suzuki,Ignis,24846.0,2021-03-01,Hatchback,Manual,Regular/Benzine 91
60050.0,Mercedes-Benz,CLA 250,15.0,2025-01-01,Sedan,Automatic,Electricity
15499.0,BMW,X3,254554.0,2015-11-01,SUV,Automatic,Diesel
75000.0,Porsche,Taycan,60000.0,2023-05-01,Sedan,Automatic,Electricity
35980.0,Mercedes-Benz,A 200,9900.0,2025-04-01,Sedan,Automatic,Super E10 95
25800.0,Suzuki,S-Cross,11790.0,2024-06-01,SUV,Manual,Super Plus E10 98
48850.0,BMW,M2,51989.0,2018-12-01,Coupe,Automatic,Super 95
59980.0,Alfa Romeo,Giulia,48.0,2025-08-01,Sedan,Automatic,Regular/Benzine 91
59850.0,Mercedes-Benz,EQE 350,10470.0,2025-01-01,Sedan,Automatic,Electricity
65400.0,Audi,Q3,5000.0,2025-10-01,SUV,Automatic,Super 95
70990.0,Audi,Q6 e-tron,10.0,2025-01-01,Hatchback,Automatic,Electricity
249900.0,Porsche,991,17700.0,2018-06-01,Coupe,Automatic,Regular/Benzine 91
29499.0,Audi,Q5,78600.0,2020-11-01,SUV,Automatic,Diesel
23444.0,Audi,A1,47622.0,2020-02-01,Sedan,Automatic,Regular/Benzine 91
92900.0,Porsche,Macan,11000.0,2025-07-01,SUV,Automatic,Electricity
59880.0,Mercedes-Benz,GLB 250,14500.0,2025-07-01,SUV,Automatic,Regular/Benzine 91
119890.0,Mercedes-Benz,GLS 450,9000.0,2025-06-01,SUV,Automatic,Diesel
88900.0,Porsche,Cayenne,16600.0,2024-02-01,SUV,Automatic,Regular/Benzine 91
68500.0,Mercedes-Benz,GLC 300,9900.0,2025-06-01,SUV,Automatic,Diesel
60090.0,Mercedes-Benz,CLA 250,1.0,2025-01-01,Sedan,Automatic,Electricity
28780.0,BMW,320,59989.0,2021-09-01,Sedan,Automatic,Regular/Benzine 91
94990.0,Mercedes-Benz,GLE 53 AMG,40300.0,2024-02-01,Coupe,Automatic,Regular/Benzine 91
31500.0,Porsche,996,159357.0,2001-05-01,Coupe,Automatic,Super Plus 98
85450.0,Mercedes-Benz,GLE 350,3000.0,2025-05-01,SUV,Automatic,Diesel
61999.0,Audi,Q7,26900.0,2025-01-01,SUV,Automatic,Super 95
62950.0,Mercedes-Benz,GLC 220,9999.0,2025-09-01,SUV,Automatic,Diesel
34890.0,Alfa Romeo,Tonale,21200.0,2023-05-01,SUV,Automatic,Electricity
49900.0,Porsche,Macan,33000.0,2019-10-01,SUV,Automatic,Regular/Benzine E10 91
36850.0,Mercedes-Benz,GLA 180,7000.0,2025-03-01,SUV,Automatic,Regular/Benzine 91
38295.0,BMW,120,13540.0,2025-03-01,Hatchback,Automatic,Super 95
62445.0,Mercedes-Benz,CLA 250,15.0,2025-01-01,Sedan,Automatic,Electricity
36330.0,Mercedes-Benz,A 180,9900.0,2025-07-01,Sedan,Automatic,Diesel
103490.0,Mercedes-Benz,GLE 450,9900.0,2025-07-01,SUV,Automatic,Diesel
164444.0,Mercedes-Benz,S 63 AMG,32122.0,2024-01-01,Sedan,Automatic,Super 95
64900.0,Audi,RS3,16334.0,2025-03-01,Sedan,Automatic,Super 95
36000.0,BMW,X3,56000.0,2020-08-01,SUV,Automatic,Super 95
20990.0,BMW,118,42550.0,2021-11-01,Sedan,Manual,Super E10 95
79990.0,BMW,M5,100000.0,2018-09-01,Sedan,Automatic,Regular/Benzine 91
40890.0,Mercedes-Benz,C 200,18534.0,2025-04-01,Sedan,Automatic,Diesel
11999.0,Alfa Romeo,Giulietta,95958.0,2019-04-01,Sedan,Manual,Diesel
17000.0,BMW,X1,187706.0,2021-12-01,SUV,Automatic,Regular/Benzine 91
29900.0,Porsche,Macan,184000.0,2014-08-01,SUV,Automatic,Diesel
57800.0,Porsche,Cayenne,71140.0,2021-10-01,SUV,Automatic,Regular/Benzine E10 91
60729.0,Mercedes-Benz,CLA 250,10.0,2025-01-01,Sedan,Automatic,Electricity
27450.0,BMW,X1,39980.0,2021-08-01,SUV,Automatic,Regular/Benzine E10 91
72480.0,Porsche,Taycan,63900.0,2021-05-01,Sedan,Automatic,Electricity
89900.0,Porsche,Cayenne,87000.0,2022-07-01,SUV,Automatic,Super 95
41988.0,BMW,X3,48073.0,2022-04-01,SUV,Automatic,Super 95
195980.0,Porsche,Cayman,120.0,2025-02-01,Coupe,Automatic,Regular/Benzine 91
37990.0,Mercedes-Benz,A 220,5200.0,2025-05-01,Sedan,Automatic,Super 95
70000.0,Porsche,Cayenne,70000.0,2021-08-01,SUV,Semi-automatic,Super 95
21590.0,Suzuki,SX4 S-Cross,3900.0,2024-08-01,SUV,Manual,Regular/Benzine E10 91
63990.0,Mercedes-Benz,GLC 300,11000.0,2025-05-01,SUV,Automatic,Diesel
16250.0,BMW,525,109700.0,2014-09-01,Sedan,Automatic,Diesel
39890.0,BMW,420,60237.0,2023-03-01,Coupe,Automatic,Diesel
7499.0,BMW,520,167000.0,2003-11-01,Sedan,Automatic,Regular/Benzine E10 91
69990.0,BMW,M5,76990.0,2022-01-01,Sedan,Automatic,Regular/Benzine 91
19900.0,BMW,X1,91240.0,2018-11-01,SUV,Automatic,Super 95
45450.0,Mercedes-Benz,EQA 250,10000.0,2025-09-01,SUV,Automatic,Electricity
35880.0,BMW,X2,31655.0,2022-08-01,SUV,Automatic,Super 95
24999.0,Porsche,Cayenne,146000.0,2014-03-01,SUV,Automatic,Diesel
429000.0,Porsche,991,3620.0,2018-02-01,Coupe,Automatic,Regular/Benzine 91
29950.0,BMW,X3,89957.0,2020-06-01,SUV,Automatic,Diesel
448500.0,Aston Martin,Vanquish,6001.0,2025-01-01,Coupe,Automatic,Regular/Benzine E10 91
16699.0,Alfa Romeo,Stelvio,124613.0,2018-04-01,SUV,Automatic,Diesel
88490.0,Audi,Q6 e-tron,10.0,2025-01-01,SUV,Automatic,Electricity
35850.0,Mercedes-Benz,A 180,2001.0,2025-09-01,Sedan,Automatic,Super E10 95
59730.0,Mercedes-Benz,GLC 200,8000.0,2025-09-01,Coupe,Automatic,Regular/Benzine 91
77000.0,Porsche,Cayenne,36869.0,2020-10-01,SUV,Automatic,Super 95
35990.0,Audi,e-tron,52194.0,2020-10-01,SUV,Automatic,Electricity
23500.0,Porsche,Cayenne,199000.0,2012-01-01,SUV,Automatic,Diesel
21990.0,BMW,218,181500.0,2021-03-01,Sedan,Automatic,Diesel
45980.0,BMW,X5,98000.0,2018-12-01,SUV,Automatic,Regular/Benzine 91
9990.0,BMW,116,146507.0,2016-07-01,Sedan,Manual,Regular/Benzine E10 91
29400.0,Porsche,Cayenne,243657.0,2014-11-01,SUV,Automatic,Diesel
30990.0,Volvo,XC60,72803.0,2020-09-01,SUV,Automatic,Diesel
41490.0,Mercedes-Benz,A 200,9900.0,2025-05-01,Sedan,Automatic,Super E10 95
32500.0,Porsche,Panamera,52000.0,2012-07-01,Hatchback,Automatic,Super 95
98490.0,Mercedes-Benz,GLS 350,12136.0,2024-10-01,SUV,Automatic,Diesel
22900.0,BMW,118,29000.0,2020-03-01,Sedan,Automatic,Regular/Benzine 91
7750.0,Volkswagen,Golf,66839.0,2010-09-01,Hatchback,Manual,Regular/Benzine 91
77900.0,Porsche,Cayenne,53276.0,2023-02-01,SUV,Automatic,Super 95
24800.0,Alfa Romeo,Stelvio,5500.0,2020-10-01,SUV,Automatic,Diesel
108890.0,Mercedes-Benz,S 500,24603.0,2025-01-01,Sedan,Automatic,Super 95
30900.0,Kia,Sportage,20.0,2025-10-01,SUV,Automatic,Regular/Benzine E10 91
1950.0,Alfa Romeo,159,139107.0,2007-09-01,Sedan,Manual,Super 95
53875.0,BMW,745,95351.0,2021-12-01,Sedan,Automatic,Super 95
29900.0,Porsche,Cayenne,183810.0,2013-03-01,SUV,Automatic,Super 95
48990.0,BMW,M2,67248.0,2020-10-01,Coupe,Automatic,Super Plus 98
51900.0,Mercedes-Benz,A 35 AMG,9900.0,2025-06-01,Sedan,Automatic,Super Plus 98
12990.0,SsangYong,Tivoli,62004.0,2019-02-01,SUV,Automatic,Super Plus E10 98
78900.0,Porsche,Macan,15222.0,2024-12-01,SUV,Automatic,Electricity
28490.0,BMW,320,114736.0,2020-04-01,Sedan,Automatic,Diesel
69250.0,Audi,Q3,1010.0,2025-10-01,SUV,Automatic,Super E10 95
36890.0,BMW,430,75000.0,2022-03-01,Coupe,Automatic,Regular/Benzine 91
32950.0,BMW,520,123000.0,2020-08-01,Sedan,Automatic,Super 95
107443.0,Porsche,Macan,15.0,2025-01-01,SUV,Automatic,Electricity
65040.0,Audi,Q5,8500.0,2025-03-01,SUV,Automatic,Diesel
106900.0,Mercedes-Benz,GLE 450,27824.0,2024-05-01,Coupe,Automatic,Diesel
34510.0,BMW,420,71800.0,2020-12-01,Coupe,Automatic,Diesel
38690.0,BMW,iX,74850.0,2021-08-01,SUV,Automatic,Electricity
1600.0,Suzuki,Swift,258561.0,2005-05-01,Hatchback,Manual,Regular/Benzine 91
28900.0,Audi,e-tron,62170.0,2020-12-01,SUV,Automatic,Electricity
48080.0,Mercedes-Benz,GLB 200,9900.0,2025-03-01,SUV,Automatic,Super E10 95
64500.0,Mercedes-Benz,E 200,9900.0,2025-07-01,Sedan,Automatic,Super E10 95
37280.0,Mercedes-Benz,A 200,9900.0,2025-04-01,Sedan,Automatic,Super E10 95
23990.0,BMW,X1,81300.0,2018-09-01,SUV,Automatic,Diesel
12599.0,Volvo,V40,89885.0,2019-04-01,Sedan,Manual,Regular/Benzine 91
45990.0,BMW,X5,109500.0,2021-10-01,SUV,Automatic,Regular/Benzine 91
29090.0,Alfa Romeo,Junior,10.0,2025-09-01,SUV,Automatic,Super 95
17590.0,BMW,X1,181593.0,2022-09-01,SUV,Automatic,Diesel
48800.0,BMW,X5 M,122540.0,2020-07-01,SUV,Automatic,Regular/Benzine 91
67950.0,Porsche,Cayenne,96105.0,2021-05-01,SUV,Automatic,Super 95
39990.0,Audi,S5,112302.0,2020-07-01,Coupe,Automatic,Diesel
69999.0,Porsche,Cayenne,97000.0,2019-11-01,Coupe,Automatic,Regular/Benzine 91
115890.0,Porsche,Cayenne,12999.0,2025-05-01,Coupe,Automatic,Regular/Benzine 91
67950.0,Porsche,Macan,54800.0,2021-12-01,SUV,Automatic,Regular/Benzine 91
77990.0,Audi,RS3,4000.0,2025-05-01,Sedan,Automatic,Super 95
21540.0,BMW,i3,28938.0,2021-05-01,Hatchback,Automatic,Electricity
35580.0,Audi,Q5,54900.0,2020-10-01,SUV,Automatic,Diesel
10950.0,SsangYong,Rexton,264000.0,2018-08-01,SUV,Automatic,Diesel
18900.0,BMW,X2,134000.0,2019-12-01,SUV,Automatic,Diesel
29990.0,Alfa Romeo,Tonale,22150.0,2024-05-01,SUV,Automatic,Super 95
130880.0,Porsche,Macan,9900.0,2025-06-01,SUV,Automatic,Electricity
29590.0,Suzuki,S-Cross,8000.0,2025-04-01,SUV,Manual,Super 95
38900.0,BMW,iX3,57467.0,2022-10-01,SUV,Automatic,Electricity
29990.0,BMW,630,122603.0,2018-06-01,Sedan,Automatic,Diesel
24890.0,BMW,X2,69800.0,2020-06-01,SUV,Automatic,Electricity
9999.0,BMW,525,295760.0,2010-07-01,Sedan,Automatic,Diesel
29490.0,BMW,X1,31541.0,2022-05-01,SUV,Automatic,Electricity
17499.0,BMW,116,130000.0,2021-11-01,Sedan,Automatic,Diesel
57470.0,BMW,iX,41205.0,2022-04-01,SUV,Automatic,Electricity
132127.0,Porsche,Macan,15.0,2025-01-01,SUV,Automatic,Electricity
176790.0,Porsche,992,30639.0,2021-12-01,Coupe,Automatic,Super E10 95
27900.0,Maserati,Quattroporte,180537.0,2014-05-01,Sedan,Automatic,Diesel
48900.0,Mercedes-Benz,GLB 200,50.0,2025-08-01,SUV,Automatic,Regular/Benzine 91
31850.0,Porsche,Macan,163259.0,2017-06-01,SUV,Automatic,Regular/Benzine 91
24880.0,BMW,420,93250.0,2018-11-01,Hatchback,Automatic,Super 95
35480.0,Audi,Q3,65500.0,2020-11-01,SUV,Automatic,Super 95
16400.0,BMW,318,113245.0,2015-08-01,Sedan,Manual,Diesel
74350.0,Audi,Q6 e-tron,10.0,2025-01-01,SUV,Automatic,Electricity
70930.0,Porsche,Macan,33499.0,2023-04-01,SUV,Automatic,Super E10 95
71890.0,BMW,M850,6000.0,2022-07-01,Coupe,Automatic,Regular/Benzine 91
12990.0,BMW,325,242000.0,2014-05-01,Sedan,Automatic,Diesel
153900.0,Mercedes-Benz,S 450,15281.0,2024-06-01,Sedan,Automatic,Diesel
43979.0,Mercedes-Benz,GLA 200,9567.0,2025-02-01,SUV,Automatic,Regular/Benzine 91
334880.0,Porsche,992,2900.0,2023-05-01,Coupe,Automatic,Super 95
38590.0,Mercedes-Benz,A 200,9900.0,2025-06-01,Sedan,Automatic,Super E10 95
28499.0,BMW,320,70000.0,2020-01-01,Sedan,Automatic,Diesel
46999.0,BMW,X1,21999.0,2025-02-01,SUV,Automatic,Diesel
59890.0,Mercedes-Benz,CLA 350,8000.0,2025-10-01,Coupe,Automatic,Electricity
189490.0,Porsche,992,7621.0,2023-03-01,Coupe,Automatic,Super E10 95
42686.0,Mercedes-Benz,GLA 200,9900.0,2025-08-01,SUV,Automatic,Super 95
95899.0,Mercedes-Benz,AMG GT,32841.0,2024-06-01,Coupe,Automatic,Super 95
75317.0,Audi,Q5,10.0,2025-10-01,SUV,Automatic,Super 95
37890.0,Alfa Romeo,Tonale,19000.0,2024-01-01,SUV,Automatic,Electricity
18490.0,BMW,116,89000.0,2021-08-01,Sedan,Automatic,Diesel
28990.0,Audi,Q5,98000.0,2020-02-01,SUV,Automatic,Diesel
27980.0,Suzuki,Jimny,12626.0,2023-03-01,SUV,Manual,Regular/Benzine 91
51875.0,BMW,iX,29882.0,2023-04-01,SUV,Automatic,Electricity
93880.0,Mercedes-Benz,GLE 450,14500.0,2025-07-01,SUV,Automatic,Regular/Benzine 91
107790.0,Mercedes-Benz,GLS 450,9900.0,2025-08-01,SUV,Automatic,Diesel
121990.0,Mercedes-Benz,GLS 450,12500.0,2024-10-01,SUV,Automatic,Diesel
39900.0,BMW,X6,94500.0,2018-09-01,SUV,Automatic,Diesel
35490.0,Mercedes-Benz,A 200,7539.0,2025-02-01,Sedan,Automatic,Regular/Benzine 91
41900.0,BMW,M3,125600.0,2001-02-01,Coupe,Manual,Regular/Benzine 91
75489.0,Mercedes-Benz,GLC 300,9900.0,2025-10-01,SUV,Automatic,Diesel
16490.0,BMW,116,41990.0,2018-12-01,Sedan,Manual,Super 95
60988.0,Audi,Q5,10.0,2025-09-01,SUV,Automatic,Diesel
18399.0,BMW,116,66000.0,2020-06-01,Sedan,Automatic,Diesel
82950.0,Audi,Q6 e-tron,50.0,2025-01-01,SUV,Automatic,Electricity
39900.0,BMW,X3,155686.0,2022-07-01,SUV,Automatic,Super 95
76900.0,Audi,Q6 e-tron,5110.0,2025-03-01,SUV,Automatic,Electricity
124900.0,BMW,M5,1872.0,2025-01-01,Sedan,Automatic,Super 95
68950.0,BMW,X6,130426.0,2020-07-01,SUV,Automatic,Super 95
46990.0,BMW,550,53186.0,2017-07-01,Sedan,Automatic,Regular/Benzine 91
41900.0,Mercedes-Benz,GLA 200,4131.0,2025-01-01,SUV,Automatic,Diesel
163545.0,BMW,X6,1.0,2025-01-01,SUV,Automatic,Super 95
24990.0,BMW,X1,56640.0,2020-11-01,SUV,Automatic,Regular/Benzine 91
47000.0,Porsche,996,117000.0,2002-11-01,Coupe,Manual,Super Plus 98
52890.0,Mercedes-Benz,GLC 200,9029.0,2025-03-01,SUV,Automatic,Super E10 95
53890.0,Mercedes-Benz,GLC 200,8652.0,2025-02-01,SUV,Automatic,Super E10 95
36249.0,Alfa Romeo,Junior,5.0,2025-09-01,SUV,Automatic,Electricity
8000.0,Honda,Insight,42500.0,2010-04-01,Sedan,Automatic,Regular/Benzine 91
23400.0,BMW,750,199900.0,2017-02-01,Sedan,Automatic,Regular/Benzine 91
12900.0,Hyundai,SANTA FE,162800.0,2014-11-01,SUV,Manual,Diesel
60590.0,Mercedes-Benz,GLC 200,9900.0,2025-03-01,Coupe,Automatic,Super E10 95
64899.0,Audi,Q7,20812.0,2025-01-01,SUV,Automatic,Diesel
70890.0,Audi,RS3,3490.0,2025-09-01,Sedan,Automatic,Super 95
26990.0,Porsche,Cayenne,100500.0,2012-09-01,SUV,Automatic,Super 95
119900.0,Porsche,997,4000.0,2009-04-01,Coupe,Manual,Super 95
76500.0,Mercedes-Benz,GLC 450,9900.0,2025-09-01,SUV,Automatic,Diesel
15990.0,Volkswagen,Tiguan,109328.0,2018-06-01,SUV,Manual,Regular/Benzine 91
4890.0,Suzuki,Jimny,168000.0,2006-06-01,SUV,Manual,Regular/Benzine 91
17995.0,BMW,X1,165450.0,2019-10-01,SUV,Automatic,Diesel
24999.0,BMW,430,79166.0,2017-03-01,Coupe,Manual,Regular/Benzine 91
38500.0,Audi,e-tron,67000.0,2020-09-01,SUV,Automatic,Electricity
209991.0,Porsche,991,9964.0,2015-08-01,Coupe,Automatic,Super 95
114990.0,Audi,A8,6050.0,2025-06-01,Sedan,Automatic,Diesel
47490.0,BMW,X5,59179.0,2020-10-01,SUV,Automatic,Super E10 95
20500.0,Audi,A3,135573.0,2020-10-01,Sedan,Automatic,Diesel
66980.0,Mercedes-Benz,GLC 300,15000.0,2025-06-01,SUV,Automatic,Super 95
1200.0,Volvo,S80,460000.0,2002-06-01,Sedan,Automatic,Diesel
59980.0,Mercedes-Benz,CLE 200,9900.0,2025-08-01,Coupe,Automatic,Super E10 95
10700.0,Volvo,V40,140000.0,2015-04-01,Sedan,Manual,Diesel
55999.0,Porsche,Cayman,65000.0,2014-04-01,Coupe,Manual,Super Plus 98
99900.0,Porsche,Macan,9684.0,2025-01-01,SUV,Automatic,Electricity
54844.0,BMW,240,5900.0,2025-07-01,Coupe,Automatic,Regular/Benzine 91
5990.0,BMW,X3,222000.0,2005-02-01,SUV,Manual,Regular/Benzine 91
43900.0,Alfa Romeo,Stelvio,13000.0,2024-03-01,SUV,Automatic,Diesel
87790.0,Porsche,Taycan,24807.0,2021-06-01,Sedan,Automatic,Electricity
49990.0,Mercedes-Benz,GLB 200,13131.0,2025-06-01,SUV,Automatic,Diesel
93250.0,Mercedes-Benz,GLE 450,9900.0,2025-09-01,SUV,Automatic,Diesel
22990.0,Volvo,XC40,70000.0,2020-08-01,SUV,Semi-automatic,Super 95
28500.0,BMW,X2,66079.0,2021-01-01,SUV,Automatic,Super 95
22395.0,Audi,e-tron,114952.0,2020-10-01,SUV,Automatic,Electricity
34410.0,BMW,X2,26497.0,2020-07-01,Coupe,Automatic,Regular/Benzine 91
41800.0,Porsche,911,169500.0,2002-05-01,Coupe,Automatic,Regular/Benzine 91
47500.0,BMW,X5,76000.0,2020-12-01,SUV,Automatic,Diesel
11990.0,Suzuki,Jimny,86267.0,2011-04-01,SUV,Manual,Regular/Benzine E10 91
27250.0,Volvo,XC40,66459.0,2020-12-01,SUV,Automatic,Electricity
58980.0,BMW,X5 M,71700.0,2022-08-01,SUV,Automatic,Regular/Benzine E10 91
76900.0,BMW,X5,63500.0,2024-04-01,SUV,Automatic,Diesel
18250.0,Suzuki,Swift,50.0,2024-11-01,Hatchback,Manual,Super E10 95
50950.0,Mercedes-Benz,GLB 200,3001.0,2025-10-01,SUV,Automatic,Regular/Benzine 91
24999.0,BMW,630,110782.0,2018-08-01,Sedan,Automatic,Regular/Benzine 91
96850.0,Audi,Q7,10.0,2025-04-01,SUV,Automatic,Diesel
19990.0,BMW,118,73613.0,2020-10-01,Sedan,Automatic,Super 95
29900.0,Suzuki,S-Cross,5.0,2025-07-01,SUV,Automatic,Super E10 95
21497.0,BMW,X1,105405.0,2021-08-01,SUV,Automatic,Diesel
184900.0,Porsche,Cayman,3900.0,2025-08-01,Coupe,Automatic,Regular/Benzine 91
47999.0,Audi,S6,90890.0,2020-02-01,Sedan,Automatic,Diesel
36790.0,Audi,Q5,56900.0,2022-08-01,SUV,Automatic,Regular/Benzine 91
25400.0,Renault,Koleos,12.0,2024-03-01,SUV,Automatic,Super 95
38990.0,BMW,X5,174000.0,2021-06-01,SUV,Automatic,Super 95
35350.0,Mercedes-Benz,A 200,9900.0,2025-03-01,Sedan,Automatic,Super E10 95
89900.0,BMW,X5 M,90284.0,2020-12-01,SUV,Automatic,Super 95
49990.0,Porsche,Cayman,53000.0,2015-03-01,Coupe,Automatic,Super Plus 98
55840.0,BMW,X7 M,169100.0,2020-09-01,SUV,Automatic,Diesel
35750.0,Mercedes-Benz,A 200,9900.0,2025-04-01,Sedan,Automatic,Regular/Benzine 91
249500.0,Porsche,992,21253.0,2022-09-01,Coupe,Automatic,Super 95
237800.0,Mercedes-Benz,G 63 AMG,2700.0,2025-07-01,SUV,Automatic,Regular/Benzine 91
62300.0,Mercedes-Benz,E 200,9900.0,2025-09-01,Sedan,Automatic,Super E10 95
36599.0,BMW,135,35416.0,2022-11-01,Sedan,Automatic,Regular/Benzine 91
31990.0,Audi,Q3,46870.0,2020-12-01,SUV,Automatic,Diesel
96500.0,Mercedes-Benz,GLE 400,9900.0,2025-06-01,SUV,Automatic,Super E10 95
27987.0,BMW,X1,58987.0,2021-10-01,SUV,Manual,Super 95
114520.0,Porsche,Macan,15.0,2025-01-01,SUV,Automatic,Electricity
10950.0,Volvo,V40,143661.0,2014-06-01,Hatchback,Manual,Diesel
16390.0,Suzuki,Swift,4500.0,2024-07-01,Hatchback,Manual,Regular/Benzine E10 91
37500.0,Mercedes-Benz,B 180,9900.0,2025-09-01,Sedan,Automatic,Super E10 95
59990.0,Mercedes-Benz,GLC 220,11381.0,2025-04-01,SUV,Automatic,Diesel
